Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5
C Floyd,2,2,5,0,51,1,51,10.2,30,0,0
C Fry,3,3,7,1,62,1,62,8.85,42,0,0
M Garratt,4,1,2.5,0,12,1,12,4.23,17,0,0
N Greenwood,8,2,2,0,14,1,14,7,12,0,0
L Gregory,5,2,4,0,29,1,29,7.25,24,0,0
H Singh,3,1,1,0,12,1,12,12,6,0,0
H Arshad,10,8,13.5,0,108,1,108,7.8,83,0,0
H Mughal,4,2,3,0,31,1,31,10.33,18,0,0
T Head,16,3,4,0,39,1,39,9.75,24,0,0
R Hekure,8,6,4.5,0,37,1,37,7.65,29,0,0
S Hongsi,3,2,3,0,35,1,35,11.66,18,0,0
A Husain,5,4,10,0,51,1,51,5.1,60,0,0
G Hyde,3,2,5,0,43,1,43,8.6,30,0,0
I Rizan,5,4,8.1,0,63,1,63,7.71,49,0,0
I Mir,4,4,15,0,73,1,73,4.86,90,0,0
E Isaneez,3,3,9.2,0,53,1,53,5.67,56,0,0
I Ullah,4,2,4,0,16,1,16,4,24,0,0
J Singh,5,2,5,0,53,1,53,10.6,30,0,0
D Kansonkho,7,3,7.3,0,60,1,60,8,45,0,0
N Khanna,2,2,4,0,47,1,47,11.75,24,0,0
B Khumalo,3,3,11,0,96,1,96,8.72,66,0,0
J Kiani,4,1,4,0,26,1,26,6.5,24,0,0
H Lakov,3,3,12,1,72,1,72,6,72,0,0
C Liyanage,2,2,5,0,47,1,47,9.4,30,0,0
J Long,2,1,2,0,26,1,26,13,12,0,0
N Lyon,2,2,5,0,48,1,48,9.6,30,0,0
O McCoy,2,1,3,0,44,1,44,14.66,18,0,0
M Data,2,2,5,0,31,1,31,6.2,30,0,0
A Makesh,4,4,9,1,79,1,79,8.77,54,0,0
D Malan,9,1,2,0,27,1,27,13.5,12,0,0
W Malinda,3,1,4,0,27,1,27,6.75,24,0,0
O Marshall,3,2,3,0,22,1,22,7.33,18,0,0
T Maruma,13,2,3,0,20,1,20,6.66,18,0,0
W Mashinge,2,2,5,0,57,1,57,11.4,30,0,0
N Master,2,1,4,0,30,1,30,7.5,24,0,0
M Haque,4,1,3,0,25,1,25,8.33,18,0,0
D Michael,4,1,3,0,32,1,32,10.66,18,0,0
S Mire,9,5,12,0,115,1,115,9.58,72,0,0
M Boota,16,1,1,0,13,1,13,13,6,0,0
M Montfort,1,1,3,0,25,1,25,8.33,18,0,0
M Tanveer,15,3,8,0,63,1,63,7.87,48,0,0
