,Date,Team1Players,Team2Players,DreamTeamPlayers
53,2022-04-11,"M Wade,S Gill,B Sudharsan,H Pandya,D Miller,A Manohar,R Tewatia,R Khan,D Nalkande,M Shami,L Ferguson","A Sharma,K Williamson,R Tripathi,N Pooran,A Markram,S Singh,W Sundar,M Jansen,B Kumar,T Natarajan,U Malik",
54,2022-04-10,"J Buttler,D Padikkal,S Samson,H Dussen,S Hetmyer,R Ashwin,R Parag,T Boult,Y Chahal,K Sen,M Krishna","K Rahul,Q Kock,K Gowtham,J Holder,D Hooda,A Badoni,K Pandya,M Stoinis,P Chameera,A Khan,R Bishnoi",
55,2022-04-10,"P Shaw,D Warner,R Pant,L Yadav,R Powell,A Patel,S Thakur,S Khan,K Yadav,M Rahman,K Ahmed","A Rahane,V Iyer,S Iyer,N Rana,A Russell,S Billings,P Cummins,S Narine,U Yadav,R Salam,C Varun",
56,2022-04-09,"I Kishan,R Sharma,D Brevis,S Yadav,T Varma,K Pollard,R Singh,J Unadkat,M Ashwin,J Bumrah,B Thampi","F Plessis,A Rawat,V Kohli,K Karthik,G Maxwell,D Willey,S Ahmed,P Silva,H Patel,M Siraj,A Deep",
57,2022-04-09,"R Uthappa,R Gaikwad,M Ali,A Rayudu,S Dube,R Jadeja,M Dhoni,D Bravo,C Jordan,M Theekshana,M Choudhary","A Sharma,K Williamson,R Tripathi,N Pooran,A Markram,S Singh,W Sundar,B Kumar,M Jansen,U Malik,T Natarajan",
58,2022-04-08,"M Agarwal,S Dhawan,J Bairstow,L Livingstone,J Sharma,O Smith,M Khan,K Rabada,R Chahar,V Arora,A Singh","M Wade,S Gill,B Sudharsan,H Pandya,D Miller,R Tewatia,A Manohar,R Khan,D Nalkande,M Shami,L Ferguson",
59,2022-04-07,"P Shaw,D Warner,R Powell,R Pant,S Khan,L Yadav,A Patel,S Thakur,K Yadav,M Rahman,A Nortje","K Rahul,Q Kock,E Lewis,D Hooda,K Pandya,A Badoni,K Gowtham,J Holder,A Khan,A Tye,R Bishnoi",
60,2022-04-06,"R Sharma,I Kishan,D Brevis,S Yadav,T Varma,K Pollard,D Sams,M Ashwin,T Mills,J Bumrah,B Thampi","A Rahane,V Iyer,S Iyer,S Billings,N Rana,A Russell,P Cummins,S Narine,R Salam,U Yadav,C Varun",
61,2022-04-05,"J Buttler,Y Jaiswal,D Padikkal,S Samson,S Hetmyer,R Parag,R Ashwin,N Saini,T Boult,Y Chahal,M Krishna","F Plessis,A Rawat,V Kohli,D Willey,S Rutherford,S Ahmed,K Karthik,H Patel,P Silva,M Siraj,A Deep",
62,2022-04-04,"K Rahul,Q Kock,E Lewis,M Pandey,D Hooda,A Badoni,K Pandya,J Holder,A Tye,R Bishnoi,A Khan","A Sharma,K Williamson,R Tripathi,A Markram,N Pooran,W Sundar,A Samad,R Shepherd,B Kumar,U Malik,T Natarajan",
